page_id,title,fullurl,categories
40762, 6th Black Crusade, https://warhammer40k.fandom.com/wiki/6th_Black_Crusade ,"[""B"", ""Black Legion"", ""Campaigns"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Black Crusade"", ""Imperial Campaigns"", ""Space Marines"", ""Imperial Guard"", ""Imperial Navy"", ""Adeptus Mechanicus""]"
40764, 8th Black Crusade, https://warhammer40k.fandom.com/wiki/8th_Black_Crusade ,"[""B"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Campaigns"", ""Black Crusade"", ""Imperial Campaigns"", ""Black Legion"", ""Space Marines"", ""Imperial Guard"", ""Imperial Navy"", ""Adeptus Mechanicus"", ""Inquisition""]"
40766, 10th Black Crusade, https://warhammer40k.fandom.com/wiki/10th_Black_Crusade ,"[""B"", ""Black Legion"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Imperial History"", ""Iron Warriors"", ""Black Crusade"", ""Campaigns"", ""Iron Hands"", ""Imperial Campaigns"", ""Space Marines""]"
40767, 11th Black Crusade, https://warhammer40k.fandom.com/wiki/11th_Black_Crusade ,"[""B"", ""Black Legion"", ""Chaos"", ""Chaos Campaigns"", ""Chaos Space Marines"", ""History"", ""Daemons"", ""Ork"", ""Imperial History"", ""Black Crusade"", ""Campaigns"", ""Xenos Campaigns"", ""Imperial Campaigns""]"
42273, Shield Generator, https://warhammer40k.fandom.com/wiki/%27Eclipse%27_Shield_Generator ,"[""S"", ""Tau"", ""Tau Empire"", ""Tau Technology""]"
51441, Silica Animus, https://warhammer40k.fandom.com/wiki/Abominable_Intelligence ,"[""S"", ""Adeptus Mechanicus"", ""Chaos"", ""Chaos Technology"", ""Dark Mechanicus"", ""History"", ""Imperial History"", ""Imperial Technology"", ""Imperium""]"
66205, Accipiters, https://warhammer40k.fandom.com/wiki/Accipiters ,"[""A"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Unknown Founding""]"
66650, Abominatus, https://warhammer40k.fandom.com/wiki/Abominatus ,"[""A"", ""Chaos"", ""Chaos Technology"", ""Chaos Walkers"", ""Daemon Engines"", ""Traitor Titan Legions"", ""Vehicles"", ""Walkers""]"
66740, Second Founding, https://warhammer40k.fandom.com/wiki/2nd_Founding ,"[""S"", ""Foundings"", ""Imperium"", ""Space Marine Chapters"", ""Space Marines"", ""Timeline"", ""Second Founding""]"
69781, Inquisitor, https://warhammer40k.fandom.com/wiki/Acolyte ,"[""I"", ""Imperial Ordo"", ""Imperium"", ""Inquisition"", ""Inquisitors"", ""Ordo Hereticus"", ""Ordo Malleus"", ""Ordo Xenos""]"
